,title,year,genre,country,url,poster-path,description,vote_average,vote_count,tmdb-poster,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,Utz,1992,Drama,GERMANY,https://rarefilmm.com/2022/08/utz-1992/,https://rarefilmm.com/wp-content/uploads/2022/08/utz922.jpg,"Fisher, a fine art dealer, goes to Prague after the death of a friend, the Baron von Utz, to see if he can obtain some of the pieces of the Baron’s priceless Meissen porcelain collection. He meets up with an old mutual friend, Orlik, who tells him about the Baron’s past, his struggle to keep his collection intact, while Fisher struggles to discover what happened to the collection",5.3,4.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Home Road Movies,2002,Animation,UK,https://rarefilmm.com/2022/08/home-road-movies-2002/,https://rarefilmm.com/wp-content/uploads/2022/08/homeroad.jpg,"A sweet reminiscence about a family of four children and their RAF-veteran dad, who knows the timetable of every bus in London, but realizes his large family needs a car. He buys a Peugeot station wagon – license plate GFP831E, and the family sets off for annual holidays exploring every corner of Europe – “adopting local customs but never forgetting who won the war.” The narrator is one of the children who, as he ages, sees things he missed as a lad – the car no rocket, dad no speedster. As the years wear on, and the car sits in the driveway, dad keeps it ready for the next great summer holiday.",0.0,0.0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Woody Allen: An American Comedy,1977,Documentary,USA,https://rarefilmm.com/2022/08/woody-allen-an-american-comedy-1977/,https://rarefilmm.com/wp-content/uploads/2022/08/woody.jpg,"Woody Allen talks about his life and work as a writer, dramatist and film-maker and discusses his creative sources, theoretical approaches and working methods. Shows scenes from some of his major films including “Annie Hall”, “Love and Death”, “Sleep”, “The Night Club Years” and “Take the Money and Run”.",7.0,1.0,https://image.tmdb.org/t/p/original/p6MkrhmvB3xABtEykSYLsDgAgPg.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Kurt Vonnegut, Jr.: A Self-Portrait",1975,Documentary,USA,https://rarefilmm.com/2022/08/kurt-vonnegut-jr-a-self-portrait-1975/,https://rarefilmm.com/wp-content/uploads/2022/08/kurtvon.jpg,"Kurt Vonnegut, Jr., discusses his development as a writer, including reference to some of his major novels, his themes and their meaning, his relationship to other writers, problems in sustaining his special vision of American life, and his future. Accompanied by photographs which chronicle the author’s life and selections from home movies taken during his youth.",0.0,0.0,https://image.tmdb.org/t/p/original/q3bizycokWoVKcXBsI3C3mlxBBs.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,World Premiere,1941,Comedy,USA,https://rarefilmm.com/2022/08/world-premiere-1941/,https://rarefilmm.com/wp-content/uploads/2022/08/worldpremieree.jpg,"Hollywood producer Duncan DeGrasse is preparing for the debut of his anti-Nazi motion picture, ‘The Earth is in Flames.’ To generate hype, his press agents create elaborate events for the premiere. One of these stunts involves hiring phony spies to make the audience think they’re in real danger. However, among the fake spies are German and Italian operatives.",5.0,1.0,https://image.tmdb.org/t/p/original/poxR406JccoW6LMg0p5Z2o1qbnr.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Chump Change,2000,Comedy,USA,https://rarefilmm.com/2022/08/chump-change-2000/,https://rarefilmm.com/wp-content/uploads/2022/08/chumpchangee.jpg,"Rags to riches to rags comedy loosely based on the director Steve Burrows’ actual experiences while writing screenplays in Los Angeles. Burrows (aka “Milwaukee Steve”) finally makes it big as “The Crotch Fresh” commercial guy, but then can’t catch another break — not even when he auditions for a new Crotch Fresh commercial! He decides the only way to make a comeback as an actor is to fake his own death, then make a glorious return.",3.2,5.0,https://image.tmdb.org/t/p/original/m9r15VLWe3l5ytAmFOjTUhH8YPs.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Flame,1996,Drama,ZIMBABWE,https://rarefilmm.com/2022/08/flame-1996/,https://rarefilmm.com/wp-content/uploads/2022/08/flame.jpg,"Flame was the first Zimbabwean film since independence and is a tribute to the Zimbabwe African National Liberation Army’s female guerrillas. In the 1970s in former Rhodesia, the people stand up against the oppressors. As war reaches rural villages, friends Florence and Nyasha run away from home to join the fighters in Mozambican training camps. Both adopt revolutionary identities: Nyasha becomes Liberty, while Florence brands herself Flame. Flame created controversy in Zimbabwe, as the realistic depiction of the treatment of women in the liberation army was seen as anti-nationalist. The film also serves as a critique for post-independence Zimbabwe, and Mugabe’s rule.",0.0,0.0,https://image.tmdb.org/t/p/original/dU9SRc877gx0PHredaAnkVp2bTH.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,La petite vendeuse de soleil,1999,Drama,FRANCE,https://rarefilmm.com/2022/08/la-petite-vendeuse-de-soleil-1999/,https://rarefilmm.com/wp-content/uploads/2022/08/La-petite-vendeuse-de-soleil.jpg,"Mambéty describes what would be his final film as “a hymn to the courage of street children,” but like all of his works, it is also a hymn to Senegal, to post-colonial Africa and to resourceful visionaries like the courageous girl of the title. Undaunted by poverty or handicap, the young Sili Laam leaves her blind grandmother begging in the street to seek out a better existence for them both. As the only female newspaper seller, she encounters constant obstacles along the way, yet reacts by simply standing up for herself and others. Nonchalantly fighting for equality and justice, Sili’s courage and resilience are depicted with a mix of joy and hardship, but no saccharine.",6.7,13.0,https://image.tmdb.org/t/p/original/18xqbIjEnVssWbFNWgo3xEXQKpd.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,Koudak va sarbaz,2000,Drama,IRAN,https://rarefilmm.com/2022/08/koudak-va-sarbaz-2000/,https://rarefilmm.com/wp-content/uploads/2022/07/childandthesoldier.jpg,"On New Year’s Eve, a young soldier is looking forward to going home but is given orders to escort a juvenile delinquent to a distant reformatory. He sets off with the child handcuffed to him.",0.0,1.0,https://image.tmdb.org/t/p/original/yoYakMvHMbixbJEYOevxeW33AZy.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Unfinished Business,1985,Drama,AUSTRALIA,https://rarefilmm.com/2022/08/unfinished-business-1985/,https://rarefilmm.com/wp-content/uploads/2022/08/unfinished.jpg,"Geoff, a journalist in his mid 40s, returns to Australia from 15 years abroad, leaving behind him in the U.S. a failed marriage and three children. He meets Maureen, the girl he was in love with when he left Australia. She is married to an older man, George, who she loves but have no children. Maureen – who once fell pregnant but had an abortion – tells Geoff her husband is sterile and asks for him to impregnate her.",7.0,1.0,https://image.tmdb.org/t/p/original/jp4rC3y9mXPDmicNQmh7HYc3kqA.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
